case,status,time_s,peak_gb,nominal_success,offgrid_success,nominal_tradeoff,offgrid_tradeoff,final_dist_offgrid,Ar_max,Pr_max
baseline,EARLY_STOP,14.627358436584473,0.491994624,1.0,1.0,0.6708763705476863,0.663622239977814,0.016104579860714636,17,19
pam_local,EARLY_STOP,11.11799955368042,0.49250816,1.0,1.0,0.6576237389509771,0.6602433868037492,0.017132487989984777,15,17
bad_locality,EARLY_STOP,10.877990245819092,0.493144576,1.0,1.0,0.657135679859375,0.6563844616850989,0.019040204689773712,15,17
