name,order,dprp,status,no_lax_S_mu,lax_S_mu,lax_delta,best_paired_delta,best_paired_cb,peak_gb,lax_extra_gb,Ar_avg,Pr_avg,Ar_max,Pr_max,time_s
local_lax,Local,False,OK,0.000000,0.000000,0.000000,0.000000,0,0.070321,0.000001,1.263158,3.210526,3,5,7.939
local_dprp,Local,True,OK,0.000000,0.000000,0.000000,0.000000,0,0.070294,0.000001,1.263158,1.263158,3,3,6.749
random_dprp,Random,True,OK,0.000000,0.000000,0.000000,0.000000,0,0.070309,0.000001,1.263158,1.263158,3,3,6.594
