n_act,n_seeds,S_mu_mean,S_mu_std,Ar_mean,Ar_std,Pr_mean,Pr_std,MaxRank_mean,MaxRank_std,Peak_GB_mean,Peak_GB_std,Time_s_mean,Time_s_std
8,3,0.6199666666666667,0.06553688528861691,7.0,0.0,9.0,0.0,9.0,0.0,2.8633333333333333,1.3280185741672943,167.0,11.135528725660043
12,3,0.5169333333333334,0.03591884370818935,12.0,1.0,14.0,1.0,14.0,1.0,5.86,0.0,404.0,8.54400374531753
16,3,0.5665666666666667,0.041367902210933206,15.0,3.605551275463989,17.0,3.605551275463989,17.0,3.605551275463989,5.87,0.0,836.6666666666666,20.256686138984662
