method,status,success_rate,mu_success,tradeoff_score,collision_rate,final_dist_mean,path_len_mean,cum_reward_mean,time_s,peak_gb
ttpi,OK,0.03333333333333333,0.0,0.0,0.0,0.7076104300162236,0.035981810856687994,-143559.26652141058,2.382328748703003,0.701627392
straight,OK,0.03333333333333333,0.0,0.0,0.13333333333333333,0.27309504328382034,0.4362505174924165,-124784.18688044357,0.05508089065551758,
potential,OK,0.03333333333333333,0.0,0.0,0.0,0.30757867496002556,0.42866582419651267,-120502.83417351733,0.06417036056518555,
random,OK,0.03333333333333333,0.0,0.0,0.0,0.709359147952069,0.36770244250226936,-161012.06664740026,0.054025888442993164,
zero,OK,0.03333333333333333,0.0,0.0,0.0,0.709345560776237,0.0,-141869.1121552475,0.049668312072753906,
