case,status,time_s,peak_gb,nominal_success,offgrid_success,nominal_tradeoff,offgrid_tradeoff,final_dist_offgrid,Ar_max,Pr_max
baseline,OK,2.3948845863342285,0.152448512,0.0,0.16666666666666666,0.0,0.14820419620305164,0.14880795471339361,7,9
pam_local,OK,2.1121256351470947,0.15256576,0.25,0.25,0.20798369813544862,0.2126054805240374,0.1503249260772982,7,9
bad_locality,OK,2.079529285430908,0.15274496,0.0,0.16666666666666666,0.0,0.14041066995600204,0.1555805112916226,8,10
