case,n_seeds,max_rank_mean,max_rank_std,mean_rank_mean,mean_rank_std,storage_mean,storage_std,peak_memory_gb_mean,peak_memory_gb_std,time_s_mean,time_s_std,max_rank_vs_baseline,storage_vs_baseline
baseline_spa,3,26.666666666666668,0.5773502691896257,14.833333333333334,0.20816659994661352,17701.0,520.9884835579381,1.4650344848632812,0.013391746173080072,52.15695198376974,0.15141032467673438,1.0,1.0
pam_local,3,16.666666666666668,0.5773502691896257,8.0,0.09999999999999964,5845.0,190.21303845951255,0.0,0.0,30.37093981107076,0.06010328139210418,0.6253561253561254,0.33043276469386834
pam_contact_local,3,17.0,1.0,8.1,0.09999999999999964,5933.0,161.0,0.0,0.0,33.30969389279684,5.317602495045931,0.6381766381766382,0.3355484886954202
pam_theta_contact,3,16.0,0.0,7.4,0.0,5240.0,0.0,0.0,0.0,29.866563479105633,0.3608826133006751,0.6001899335232669,0.2962017179077825
bad_locality_only,3,28.666666666666668,0.5773502691896257,16.466666666666665,0.4041451884327376,34710.333333333336,1700.8657599391356,0.04756927490234375,0.02420706045056429,57.74177487691244,0.9988343459592133,1.0754985754985755,1.9634262094138684
bad_split,3,29.0,0.0,19.5,0.10000000000000142,35605.666666666664,397.08227526966414,0.024687449137369793,0.008517856251358346,52.837877670923866,0.7461634250140297,1.0878442545109213,2.012797021876959
face_local_only,3,26.333333333333332,0.5773502691896257,13.366666666666667,0.15275252316519508,22464.666666666668,475.88373930334427,0.017801920572916668,0.01769732473927191,52.38067611058553,3.545447658943035,0.9876543209876543,1.2693275397103738
