seed,training_seed,environment_seed,permutation_seed,state_sampling_seed,env,ordering,canonical_ordering,display_ordering,baseline_category,ordering_group,la_objective,peak_cut_objective,rankaware_proxy_objective,adv_rank_max,adv_rank_mean,val_rank_max,val_rank_mean,peak_memory_mb,runtime_sec,train_time_sec,ordering_search_time_sec,ttpi_training_time_sec,total_time_sec,success_rate,avg_return,mu,best_success_rate,best_mu,best_s_times_mu,tt_cross_calls,tt_cross_function_evals,queried_points_total,status,oom,error_type,error_message,adv_rank_profile_json,val_rank_profile_json,policy_rank_profile_json
0,0,2026,0,0,HM8,sensitivity_lite_fd5,sensitivity_lite_fd5,SensitivityLiteFD5,prestudy_candidate,prestudy_candidate,336.0,30.0,53.6882932872699,9.0,6.473684210526316,3.0,2.6666666666666665,6203.30752,211.31876683235168,211.3096046447754,0.009162187576293945,211.3096046447754,211.31876683235168,0.8,-277072949.6940015,0.7503837285542879,0.81,0.7618225942693048,0.6170763013581368,61,61102808,61102808,ok,False,,,"[5, 7, 8, 6, 9, 6, 9, 6, 8, 6, 8, 6, 9, 6, 8, 4, 6, 3, 3]","[3, 3, 2]","[7, 9, 10, 8, 11, 8, 11, 8, 10, 8, 10, 8, 11, 8, 10, 6, 8, 5, 5]"
0,0,2026,0,0,HM8,sensitivity_lite_first_order,sensitivity_lite_first_order,SensitivityLiteFirstOrder,prestudy_candidate,prestudy_candidate,336.0,30.0,53.6882932872699,15.0,8.473684210526315,3.0,2.6666666666666665,7567.364608,206.0003697872162,205.9926037788391,0.007766008377075195,205.9926037788391,206.0003697872162,0.5700000000000001,-280516528.93183255,0.8393148241605236,0.5700000000000001,0.8393148241605236,0.4784094497714985,61,46475826,46475826,ok,False,,,"[5, 7, 9, 7, 10, 9, 12, 10, 15, 10, 13, 9, 13, 8, 7, 5, 6, 4, 2]","[3, 3, 2]","[7, 9, 11, 9, 12, 11, 14, 12, 17, 12, 15, 11, 15, 10, 9, 7, 8, 6, 2]"
1,1,2026,0,1,HM8,sensitivity_lite_fd5,sensitivity_lite_fd5,SensitivityLiteFD5,prestudy_candidate,prestudy_candidate,336.0,30.0,53.6882932872699,9.0,6.7368421052631575,3.0,2.6666666666666665,4982.769152,203.92795991897583,203.91988039016724,0.00807952880859375,203.91988039016724,203.92795991897583,0.5700000000000001,-271701708.6861235,0.5957999535157881,0.81,0.578195779550784,0.4683385814361351,61,55342216,55342216,ok,False,,,"[5, 7, 8, 6, 9, 7, 9, 6, 8, 6, 9, 7, 9, 6, 9, 4, 6, 3, 4]","[3, 3, 2]","[7, 9, 10, 8, 11, 9, 11, 8, 10, 8, 11, 9, 11, 8, 11, 6, 8, 5, 6]"
1,1,2026,0,1,HM8,sensitivity_lite_first_order,sensitivity_lite_first_order,SensitivityLiteFirstOrder,prestudy_candidate,prestudy_candidate,336.0,30.0,53.6882932872699,16.0,8.157894736842104,3.0,2.6666666666666665,8171.6352,218.9639973640442,218.95590162277222,0.008095741271972656,218.95590162277222,218.9639973640442,0.72,-287126599.7916623,0.7218631191479363,0.72,0.7218631191479363,0.5197414457865142,61,61244562,61244562,ok,False,,,"[5, 7, 9, 7, 10, 7, 11, 8, 13, 9, 13, 9, 16, 9, 6, 4, 6, 4, 2]","[3, 3, 2]","[7, 9, 11, 9, 12, 9, 13, 10, 15, 11, 15, 11, 18, 11, 8, 6, 8, 6, 2]"
2,2,2026,0,2,HM8,sensitivity_lite_fd5,sensitivity_lite_fd5,SensitivityLiteFD5,prestudy_candidate,prestudy_candidate,336.0,30.0,53.6882932872699,17.0,11.421052631578947,3.0,2.6666666666666665,8170.123776,219.67833137512207,219.67046761512756,0.007863759994506836,219.67046761512756,219.67833137512207,0.72,-258457214.83714128,0.6087393749230218,0.9400000000000001,0.5500643930282182,0.5170605294465251,61,68219704,68219704,ok,False,,,"[5, 7, 10, 11, 15, 13, 16, 12, 15, 13, 17, 15, 15, 10, 15, 6, 11, 5, 6]","[3, 3, 2]","[7, 9, 12, 13, 17, 15, 18, 14, 17, 15, 19, 17, 17, 12, 17, 8, 13, 7, 8]"
2,2,2026,0,2,HM8,sensitivity_lite_first_order,sensitivity_lite_first_order,SensitivityLiteFirstOrder,prestudy_candidate,prestudy_candidate,336.0,30.0,53.6882932872699,16.0,8.736842105263158,3.0,2.6666666666666665,6958.595072,210.31438493728638,210.3062686920166,0.00811624526977539,210.3062686920166,210.31438493728638,0.2,-299072915.5026707,0.8412247633064759,0.68,0.7487598011642088,0.509156664791662,61,53516514,53516514,ok,False,,,"[5, 7, 9, 7, 10, 8, 11, 9, 16, 11, 14, 10, 16, 9, 7, 5, 6, 4, 2]","[3, 3, 2]","[7, 9, 11, 9, 12, 10, 13, 11, 18, 13, 16, 12, 18, 11, 9, 7, 8, 6, 2]"
