task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,23,get_advantage_from_value,after_cross_before_round,3.404505755752325,11.51744,885734,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]",21,21.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,23,get_advantage_from_value,after_round,3.4550319062545896,9.119744,885734,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.2962962962962963,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,24,bellman_operator,after_cross_before_round,3.6917387498542666,9.133568,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,24,bellman_operator,after_round,3.69759607873857,9.055744,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,25,get_advantage_from_value,after_cross_before_round,3.5957785760983825,11.51744,885734,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]",21,21.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,25,get_advantage_from_value,after_round,3.6512260381132364,9.126912,885734,"[3, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 5, 4, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5,3.4444444444444446,3,4,4,3,4,3,4,3,4,3,4,3,4,3,5,4,4,3,4,3,4,3,4,3,3,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,26,bellman_operator,after_cross_before_round,3.593329499475658,9.165312,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,26,bellman_operator,after_round,3.601732020266354,9.087488,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,27,get_advantage_from_value,after_cross_before_round,3.636236877180636,11.549184,885734,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]",21,21.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,27,get_advantage_from_value,after_round,3.687945956364274,9.158144,885734,"[3, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5,3.4074074074074074,3,5,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,28,bellman_operator,after_cross_before_round,3.60988178383559,9.160704,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,28,bellman_operator,after_round,3.6149699175730348,9.08288,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,29,get_advantage_from_value,after_cross_before_round,5.816493225283921,14.441984,2223632,"[31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31]",31,31.0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
HM12_state40_action50_iter30_orderflip_within_block_seed5_formal5080,5,HM12,flip_within_block,29,get_advantage_from_value,after_round,5.894093619659543,9.199616,2223632,"[4, 5, 4, 4, 5, 4, 5, 4, 5, 4, 6, 5, 6, 5, 5, 4, 5, 4, 5, 4, 6, 4, 6, 4, 4, 2, 2]",6,4.481481481481482,4,5,4,4,5,4,5,4,5,4,6,5,6,5,5,4,5,4,5,4,6,4,6,4,4,2,2
