task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,1,reward_fcn,after_cross_before_round,1.9646767657250166,9.422848,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,1,reward_fcn,after_round,2.0468365708366036,8.586752,322866,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.4285714285714284,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,2,bellman_operator,after_cross_before_round,4.520739401690662,9.10848,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,2,bellman_operator,after_round,4.5238283118233085,9.02656,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,3,get_advantage_from_value,after_cross_before_round,1.9658329132944345,9.915904,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,3,get_advantage_from_value,after_round,2.006537285633385,9.049088,322866,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,4,bellman_operator,after_cross_before_round,3.996024345047772,8.963072,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,4,bellman_operator,after_round,4.000114284455776,8.881152,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,5,get_advantage_from_value,after_cross_before_round,2.140562401153147,9.768448,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,5,get_advantage_from_value,after_round,2.1822665305808187,8.901632,322866,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,6,bellman_operator,after_cross_before_round,3.9390617664903402,8.963072,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,6,bellman_operator,after_round,3.9430360216647387,8.885248,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,7,get_advantage_from_value,after_cross_before_round,1.9026391981169581,9.77664,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,7,get_advantage_from_value,after_round,1.9421724928542972,8.909824,322866,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,8,bellman_operator,after_cross_before_round,3.8702338645234704,8.971264,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,8,bellman_operator,after_round,3.8762176958844066,8.89344,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,9,get_advantage_from_value,after_cross_before_round,2.158551027998328,9.77664,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,9,get_advantage_from_value,after_round,2.202159241773188,8.909824,322866,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,10,bellman_operator,after_cross_before_round,3.820756026543677,8.971264,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderpeakcut_pam_seed9_formal5080,9,HM16,peakcut_pam,10,bellman_operator,after_round,3.8245986737310886,8.89344,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
