task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,51,get_advantage_from_value,after_cross_before_round,9.71695142891258,24.482304,9231686,"[40, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 50]",61,59.31578947368421,40,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,50
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,51,get_advantage_from_value,after_round,9.865607560612261,10.142208,9231686,"[4, 6, 8, 7, 12, 8, 11, 8, 13, 8, 13, 8, 13, 7, 9, 6, 6, 4, 5]",13,8.210526315789474,4,6,8,7,12,8,11,8,13,8,13,8,13,7,9,6,6,4,5
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,52,bellman_operator,after_cross_before_round,3.3697112556546926,9.844736,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,52,bellman_operator,after_round,3.3751676846295595,9.766912,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,53,get_advantage_from_value,after_cross_before_round,14.216282932087779,29.876224,13955194,"[40, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 50]",71,68.26315789473684,40,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,50
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,53,get_advantage_from_value,after_round,14.425721248611808,10.228736,13955194,"[4, 6, 9, 7, 12, 9, 13, 10, 17, 12, 20, 12, 19, 9, 12, 8, 9, 5, 7]",20,10.526315789473685,4,6,9,7,12,9,13,10,17,12,20,12,19,9,12,8,9,5,7
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,54,bellman_operator,after_cross_before_round,4.123250904493034,10.472448,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,54,bellman_operator,after_round,4.128666255623102,10.394624,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,55,get_advantage_from_value,after_cross_before_round,14.944879466667771,31.100928,13955194,"[40, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 50]",71,68.26315789473684,40,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,50
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,55,get_advantage_from_value,after_round,15.150289453566074,10.781696,13955194,"[4, 7, 9, 8, 13, 9, 13, 9, 16, 10, 17, 10, 16, 8, 10, 7, 8, 5, 6]",17,9.736842105263158,4,7,9,8,13,9,13,9,16,10,17,10,16,8,10,7,8,5,6
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,56,bellman_operator,after_cross_before_round,6.530636317096651,10.43968,194040,"[21, 21, 21]",21,21.0,21,21,21,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderflip_within_block_seed2_formal5080,2,HM8_actuator_relabelled,flip_within_block,56,bellman_operator,after_round,6.5430298978462815,10.152448,194040,"[3, 3, 4]",4,3.3333333333333335,3,3,4,,,,,,,,,,,,,,,,
