task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,47,get_advantage_from_value,after_cross_before_round,21.62535581085831,40.144896,20010842,"[40, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 2]",71,67.29629629629629,40,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,47,get_advantage_from_value,after_round,21.896249745041132,9.421824,20010842,"[5, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 6, 5, 5, 4, 5, 4, 2]",7,4.62962962962963,5,7,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,5,5,4,5,4,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,48,bellman_operator,after_cross_before_round,3.910806016996503,9.416192,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,48,bellman_operator,after_round,3.917656951583922,9.338368,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,49,get_advantage_from_value,after_cross_before_round,8.72130664344877,18.67776,4561678,"[40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 2]",41,39.51851851851852,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,49,get_advantage_from_value,after_round,8.86307567358017,9.636352,4561678,"[5, 7, 6, 5, 6, 5, 6, 5, 6, 6, 8, 7, 8, 7, 9, 8, 10, 8, 10, 9, 11, 8, 8, 6, 7, 5, 2]",11,6.962962962962963,5,7,6,5,6,5,6,5,6,6,8,7,8,7,9,8,10,8,10,9,11,8,8,6,7,5,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,50,bellman_operator,after_cross_before_round,5.122011994943023,10.018304,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,50,bellman_operator,after_round,5.1272400403395295,9.94048,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,51,get_advantage_from_value,after_cross_before_round,21.908116368576884,38.76864,20010842,"[40, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 2]",71,67.29629629629629,40,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,51,get_advantage_from_value,after_round,22.182767732068896,10.432512,20010842,"[5, 7, 6, 5, 6, 5, 6, 5, 6, 6, 8, 7, 9, 10, 11, 10, 13, 12, 16, 15, 16, 12, 11, 8, 10, 7, 2]",16,8.666666666666666,5,7,6,5,6,5,6,5,6,6,8,7,9,10,11,10,13,12,16,15,16,12,11,8,10,7,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,52,bellman_operator,after_cross_before_round,6.018578850664198,10.6752,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,52,bellman_operator,after_round,6.0242585660889745,10.597376,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,53,get_advantage_from_value,after_cross_before_round,15.799759725108743,31.222784,13192774,"[40, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 2]",61,58.03703703703704,40,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,53,get_advantage_from_value,after_round,15.9893092289567,11.058176,13192774,"[5, 7, 6, 5, 6, 5, 6, 5, 7, 6, 9, 8, 12, 11, 12, 10, 12, 11, 13, 13, 15, 11, 10, 7, 9, 6, 2]",15,8.481481481481481,5,7,6,5,6,5,6,5,7,6,9,8,12,11,12,10,12,11,13,13,15,11,10,7,9,6,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,54,bellman_operator,after_cross_before_round,5.578435737639666,10.573312,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,54,bellman_operator,after_round,5.583841632120311,10.495488,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,55,get_advantage_from_value,after_cross_before_round,15.943456826731563,30.877184,13192774,"[40, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 2]",61,58.03703703703704,40,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,55,get_advantage_from_value,after_round,16.133156339637935,10.846208,13192774,"[5, 7, 6, 5, 6, 5, 6, 5, 6, 6, 8, 7, 9, 8, 10, 8, 11, 9, 11, 10, 14, 10, 9, 6, 8, 5, 2]",14,7.481481481481482,5,7,6,5,6,5,6,5,6,6,8,7,9,8,10,8,11,9,11,10,14,10,9,6,8,5,2
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,56,bellman_operator,after_cross_before_round,5.451072374358773,10.195968,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,6,HM12,block_pam,56,bellman_operator,after_round,5.456120278686285,10.118144,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
