env,seed,training_seed,environment_seed,permutation_seed,state_sampling_seed,ordering,result,cmd
HM8,1,1,2026,0,1,reverse_blocks,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderreverse_blocks_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order reverse_blocks --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,flip_within_block,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderflip_within_block_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order flip_within_block --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,pam_greedy,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderpam_greedy_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order pam_greedy --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,pam_spectral,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderpam_spectral_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order pam_spectral --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,block_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderblock_pam_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order block_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,free_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderfree_pam_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order free_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,peakcut_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderpeakcut_pam_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order peakcut_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,sensitivity_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_ordersensitivity_pam_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order sensitivity_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,rankaware_proxy_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order rankaware_proxy_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,hybrid_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderhybrid_pam_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order hybrid_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
