env,ordering,n_seeds,la_objective_mean,la_objective_min,la_objective_max,peak_cut_objective_mean,peak_cut_objective_min,peak_cut_objective_max,rankaware_proxy_objective_mean,rankaware_proxy_objective_min,rankaware_proxy_objective_max,adv_rank_max_mean,adv_rank_max_min,adv_rank_max_max,adv_rank_mean_mean,adv_rank_mean_min,adv_rank_mean_max,val_rank_max_mean,val_rank_max_min,val_rank_max_max,val_rank_mean_mean,val_rank_mean_min,val_rank_mean_max,peak_memory_mb_mean,peak_memory_mb_min,peak_memory_mb_max,runtime_sec_mean,runtime_sec_min,runtime_sec_max,success_rate_mean,success_rate_min,success_rate_max,avg_return_mean,avg_return_min,avg_return_max,mu_mean,mu_min,mu_max,best_s_times_mu_mean,best_s_times_mu_min,best_s_times_mu_max,tt_cross_calls_mean,tt_cross_calls_min,tt_cross_calls_max,tt_cross_function_evals_mean,tt_cross_function_evals_min,tt_cross_function_evals_max,queried_points_total_mean,queried_points_total_min,queried_points_total_max
HM8,badsplit,1,988.0,988.0,988.0,112.0,112.0,112.0,70.48484673610633,70.48484673610633,70.48484673610633,3.0,3.0,3.0,1.263157894736842,1.263157894736842,1.263157894736842,2.0,2.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1901.996544,1901.996544,1901.996544,14.003756880760193,13.78564739227295,14.221866369247437,0.0,0.0,0.0,-3438133643.0755115,-3438133643.0755115,-3438133643.0755115,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,690886.0,690886.0,690886.0,690886.0,690886.0,690886.0
HM8,local,1,448.0,448.0,448.0,46.0,46.0,46.0,58.29533159388881,58.29533159388881,58.29533159388881,4.333333333333333,3.0,7.0,2.3333333333333335,1.263157894736842,4.473684210526316,2.3333333333333335,2.0,3.0,1.7777777777777777,1.3333333333333333,2.6666666666666665,1240.9367893333333,648.705024,2425.40032,62.15998291969299,13.469360828399658,159.17195534706116,0.24333333333333332,0.0,0.73,-2375358097.826952,-3438133643.0755115,-249807007.3298327,0.22712303759300942,0.0,0.6813691127790282,0.19872406555403146,0.0,0.5961721966620944,23.666666666666668,5.0,61.0,9052008.666666666,681826.0,25792374.0,9052008.666666666,681826.0,25792374.0
HM8,opposite_pair,1,336.0,336.0,336.0,30.0,30.0,30.0,53.6882932872699,53.6882932872699,53.6882932872699,3.0,3.0,3.0,1.263157894736842,1.263157894736842,1.263157894736842,2.0,2.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,648.705024,648.705024,648.705024,13.651792764663696,13.50223183631897,13.801353693008423,0.0,0.0,0.0,-3438133643.0755115,-3438133643.0755115,-3438133643.0755115,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,681826.0,681826.0,681826.0,681826.0,681826.0,681826.0
HM8,random,1,836.0,836.0,836.0,90.0,90.0,90.0,68.08066825880266,68.08066825880266,68.08066825880266,3.0,3.0,3.0,1.263157894736842,1.263157894736842,1.263157894736842,2.0,2.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1485.09184,1485.09184,1485.09184,13.946233749389648,13.892323017120361,14.000144481658936,0.0,0.0,0.0,-3438133643.0755115,-3438133643.0755115,-3438133643.0755115,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,681826.0,681826.0,681826.0,681826.0,681826.0,681826.0
