seed,env,ordering,la_objective,peak_cut_objective,rankaware_proxy_objective,adv_rank_max,adv_rank_mean,val_rank_max,val_rank_mean,peak_memory_mb,runtime_sec,success_rate,avg_return,mu,best_success_rate,best_mu,best_s_times_mu,tt_cross_calls,tt_cross_function_evals,queried_points_total,adv_rank_profile_json,val_rank_profile_json,policy_rank_profile_json,training_seed,environment_seed,permutation_seed,state_sampling_seed,canonical_ordering,display_ordering,baseline_category,ordering_group,train_time_sec,ordering_search_time_sec,ttpi_training_time_sec,total_time_sec,status,oom,error_type,error_message
0,HM8,random,910.0,92.0,69.29141377889368,16.0,8.210526315789474,3.0,2.6666666666666665,10617.498624,103.59529662132263,,,,0.72,0.5077809042870115,0.3656022510866483,27,50706784,50706784,"[3, 4, 4, 4, 5, 6, 8, 9, 10, 11, 11, 11, 13, 16, 14, 12, 8, 4, 3]","[3, 3, 2]","[5, 6, 6, 6, 7, 8, 10, 11, 12, 13, 13, 13, 15, 18, 16, 14, 10, 6, 5]",0,2026,0,0,random,Random,diagnostic_control,diagnostic_control,103.58899879455566,0.0062978267669677734,103.58899879455566,103.59529662132263,oom,True,OutOfMemoryError,"CUDA out of memory. Tried to allocate 6.17 GiB. GPU 0 has a total capacity of 15.47 GiB of which 553.44 MiB is free. Process 1916578 has 297.45 MiB memory in use. Including non-PyTorch memory, this process has 13.93 GiB memory in use. Of the allocated memory 6.29 GiB is allocated by PyTorch, and 7.26 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
0,HM8,random,864.0,92.0,68.47874348456477,33.0,12.210526315789474,3.0,2.6666666666666665,13383.579136,187.2244143486023,,,,0.8200000000000001,0.5897576787370806,0.48360129656440615,36,122840196,122840196,"[4, 6, 5, 4, 6, 8, 11, 16, 19, 23, 26, 33, 25, 15, 9, 8, 6, 4, 4]","[3, 3, 2]","[6, 8, 7, 6, 8, 10, 13, 18, 21, 25, 28, 35, 27, 17, 11, 10, 8, 6, 6]",0,2026,1,0,random,Random,diagnostic_control,diagnostic_control,187.21822476387024,0.006189584732055664,187.21822476387024,187.2244143486023,oom,True,OutOfMemoryError,"CUDA out of memory. Tried to allocate 3.91 GiB. GPU 0 has a total capacity of 15.47 GiB of which 3.35 GiB is free. Process 1916578 has 297.45 MiB memory in use. Including non-PyTorch memory, this process has 11.13 GiB memory in use. Of the allocated memory 3.72 GiB is allocated by PyTorch, and 7.04 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
0,HM8,random,758.0,84.0,66.60784146718888,20.0,8.947368421052632,3.0,2.6666666666666665,10618.402816,165.2786295413971,,,,0.98,0.5672718658600526,0.5559264285428516,41,76588710,76588710,"[4, 6, 5, 4, 5, 7, 9, 9, 8, 11, 13, 15, 16, 20, 16, 9, 7, 4, 2]","[3, 3, 2]","[6, 8, 7, 6, 7, 9, 11, 11, 10, 13, 15, 17, 18, 22, 18, 11, 9, 4, 2]",0,2026,2,0,random,Random,diagnostic_control,diagnostic_control,165.2718539237976,0.006775617599487305,165.2718539237976,165.2786295413971,oom,True,OutOfMemoryError,"CUDA out of memory. Tried to allocate 6.17 GiB. GPU 0 has a total capacity of 15.47 GiB of which 4.08 GiB is free. Process 1916578 has 297.45 MiB memory in use. Including non-PyTorch memory, this process has 10.40 GiB memory in use. Of the allocated memory 6.30 GiB is allocated by PyTorch, and 3.73 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
0,HM8,badsplit,988.0,112.0,70.48484673610633,19.0,8.210526315789474,3.0,2.6666666666666665,10620.084736,133.1924285888672,,,,0.81,0.4729147773772609,0.38306096967558134,31,72613884,72613884,"[3, 4, 4, 3, 4, 5, 6, 7, 9, 11, 12, 16, 19, 17, 15, 9, 6, 4, 2]","[3, 3, 2]","[5, 6, 6, 5, 6, 7, 8, 9, 11, 13, 14, 18, 21, 19, 17, 11, 8, 4, 2]",0,2026,0,0,badsplit,BadSplit,diagnostic_control,diagnostic_control,133.18579745292664,0.006631135940551758,133.18579745292664,133.1924285888672,oom,True,OutOfMemoryError,"CUDA out of memory. Tried to allocate 6.17 GiB. GPU 0 has a total capacity of 15.47 GiB of which 5.05 GiB is free. Process 1916578 has 297.45 MiB memory in use. Including non-PyTorch memory, this process has 9.42 GiB memory in use. Of the allocated memory 6.30 GiB is allocated by PyTorch, and 2.75 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
0,HM8,reverse_blocks,448.0,46.0,58.29533159388881,9.0,5.947368421052632,3.0,2.6666666666666665,2756.161024,168.3792221546173,0.47000000000000003,-249220174.2120286,0.8501848670657921,0.77,0.8545063195862771,0.6579698660814334,61,30771758,30771758,"[4, 7, 6, 5, 6, 5, 6, 5, 7, 6, 7, 7, 9, 7, 8, 7, 5, 4, 2]","[3, 3, 2]","[6, 9, 8, 7, 8, 7, 8, 7, 9, 8, 9, 9, 11, 9, 10, 9, 7, 6, 2]",0,2026,0,0,reverse_blocks,ReverseBlocks,diagnostic_control,diagnostic_control,168.37294793128967,0.006274223327636719,168.37294793128967,168.3792221546173,ok,False,,
0,HM8,flip_within_block,448.0,46.0,58.29533159388881,22.0,12.368421052631579,3.0,2.6666666666666665,10617.575424,246.53392934799194,0.21,-1365052033.6351807,0.9151510469245896,0.21,0.9151510469245896,0.1921817198541638,61,86597404,86597404,"[5, 7, 9, 9, 12, 10, 17, 12, 18, 14, 21, 12, 17, 13, 22, 11, 13, 6, 7]","[3, 3, 2]","[7, 9, 11, 11, 14, 12, 19, 14, 20, 16, 23, 14, 19, 15, 24, 13, 15, 8, 9]",0,2026,0,0,flip_within_block,FlipWithinBlock,diagnostic_control,diagnostic_control,246.52777552604675,0.00615382194519043,246.52777552604675,246.53392934799194,ok,False,,
0,HM8,pam_greedy,336.0,30.0,53.6882932872699,18.0,10.31578947368421,3.0,2.6666666666666665,4240.330752,216.61885857582092,0.39,-337915776.8609831,0.9686504241227639,0.76,0.5312883906035886,0.40377917685872733,61,46643314,46643314,"[4, 7, 9, 9, 13, 11, 16, 12, 18, 11, 17, 10, 14, 11, 10, 7, 9, 6, 2]","[3, 3, 2]","[6, 9, 11, 11, 15, 13, 18, 14, 20, 13, 19, 12, 16, 13, 12, 9, 11, 8, 2]",0,2026,0,0,pam_greedy,GreedyPAM,surrogate_baseline,surrogate_baseline,216.61211729049683,0.00674128532409668,216.61211729049683,216.61885857582092,ok,False,,
0,HM8,pam_spectral,368.0,40.0,55.405453470954605,22.0,9.578947368421053,3.0,2.6666666666666665,10619.311616,287.3788163661957,0.72,-356321705.630264,0.7514881254271969,0.72,0.7514881254271969,0.5410714503075817,61,122844436,122844436,"[5, 7, 9, 7, 11, 15, 12, 10, 16, 22, 15, 10, 11, 7, 10, 4, 5, 3, 3]","[3, 3, 2]","[7, 9, 11, 9, 13, 17, 14, 12, 18, 24, 17, 12, 13, 9, 12, 6, 7, 5, 5]",0,2026,0,0,pam_spectral,SpectralPAM,surrogate_baseline,surrogate_baseline,287.3723247051239,0.006491661071777344,287.3723247051239,287.3788163661957,ok,False,,
0,HM8,block_pam,336.0,30.0,53.6882932872699,7.0,4.315789473684211,3.0,2.6666666666666665,2425.35936,164.47444009780884,0.6,-253803987.69345254,0.8915235708763183,0.78,0.80567519451767,0.6284266517237826,61,27164078,27164078,"[4, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 3, 4, 3, 2]","[3, 3, 2]","[6, 9, 8, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 6, 5, 6, 5, 2]",0,2026,0,0,block_pam,BlockPAM,ablation,ablation,164.46805834770203,0.0063817501068115234,164.46805834770203,164.47444009780884,ok,False,,
0,HM8,free_pam,336.0,30.0,53.6882932872699,16.0,9.157894736842104,3.0,2.6666666666666665,6149.679104,208.6817502975464,0.48,-307603214.2783368,0.8499637635380086,0.73,0.7711510499350982,0.5629402664526216,61,45211916,45211916,"[5, 6, 9, 7, 10, 9, 13, 11, 14, 10, 16, 11, 13, 8, 12, 5, 6, 4, 5]","[3, 3, 2]","[7, 8, 11, 9, 12, 11, 15, 13, 16, 12, 18, 13, 15, 10, 14, 7, 8, 6, 7]",0,2026,0,0,free_pam,FreePAM,ablation,ablation,208.67516779899597,0.006582498550415039,208.67516779899597,208.6817502975464,ok,False,,
0,HM8,peakcut_pam,336.0,30.0,53.6882932872699,13.0,7.578947368421052,3.0,2.6666666666666665,4337.550848,197.1658878326416,0.45,-327548678.5814535,0.9282269679314826,0.91,0.6407790137775002,0.5831089025375252,61,40474682,40474682,"[4, 6, 7, 7, 10, 8, 12, 8, 13, 8, 12, 7, 8, 7, 7, 6, 7, 5, 2]","[3, 3, 2]","[6, 8, 9, 9, 12, 10, 14, 10, 15, 10, 14, 9, 10, 9, 9, 8, 9, 7, 2]",0,2026,0,0,peakcut_pam,PeakCutPAM,surrogate_baseline,surrogate_baseline,197.15945434570312,0.0064334869384765625,197.15945434570312,197.1658878326416,ok,False,,
