run_id,env,ordering,seed,status,oom,error_type,peak_memory_mb,ordering_search_time_sec,ttpi_training_time_sec,total_time_sec,success_rate,avg_return,mu,tt_cross_calls,tt_cross_function_evals,queried_points_total,queries_per_completed_pi,last_completed_pi,adv_rank_auc,val_rank_auc,adv_rank_final,val_rank_final,adv_rank_max_over_run,val_rank_max_over_run,cross_process_rank_max,pam_order_objective,pam_order_peak_cut_objective,pam_order_rankaware_proxy_objective
HM12_state40_action50_iter30_orderhybrid_pam_seed8_formal5080,HM12,hybrid_pam,8,oom,True,OutOfMemoryError,10637.460992,0.019204139709472656,457.99247789382935,458.0116820335388,,,,61,222656906,222656906,7677824.344827586,29,184.5,82.5,18.0,3.0,18.0,3.0,81.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderhybrid_pam_seed9_formal5080,HM12,hybrid_pam,9,oom,True,OutOfMemoryError,13404.758016,0.018457651138305664,412.94177174568176,412.96022939682007,,,,56,201038928,201038928,7445886.222222222,27,184.5,76.5,34.0,3.0,34.0,3.0,91.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderlocal_seed0_formal5080,HM12,local,0,ok,False,,13405.166592,0.019080638885498047,474.98247599601746,475.00155663490295,0.58,-211592109.7407459,0.9279315057158843,61,224175626,224175626,7472520.866666666,30,197.5,85.5,12.0,3.0,17.0,3.0,91.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderlocal_seed1_formal5080,HM12,local,1,ok,False,,10636.677632,0.021322011947631836,450.0101706981659,450.0314927101135,0.34,-216433537.39845547,0.6951817430237452,61,191744782,191744782,6391492.733333333,30,203.0,85.5,17.0,3.0,17.0,3.0,81.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderlocal_seed2_formal5080,HM12,local,2,ok,False,,10637.31712,0.01896953582763672,447.8195366859436,447.83850622177124,0.52,-211492018.1464637,0.6467196818052471,61,193179342,193179342,6439311.4,30,201.5,85.5,14.0,3.0,17.0,3.0,81.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderlocal_seed3_formal5080,HM12,local,3,oom,True,OutOfMemoryError,10639.261696,0.019146203994750977,439.4133720397949,439.4325182437897,,,,61,202095502,202095502,6968810.413793104,29,185.0,82.5,17.0,3.0,19.0,3.0,71.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderlocal_seed4_formal5080,HM12,local,4,ok,False,,10637.9392,0.0192716121673584,459.12682271003723,459.1460943222046,0.41000000000000003,-228926489.50885797,0.8701368650361725,61,207300198,207300198,6910006.6,30,198.0,85.5,13.0,3.0,20.0,3.0,81.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderlocal_seed5_formal5080,HM12,local,5,oom,True,OutOfMemoryError,10636.381184,0.01896071434020996,374.3348476886749,374.35380840301514,,,,57,154674414,154674414,5728682.0,27,164.5,76.5,10.0,3.0,13.0,3.0,81.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderlocal_seed6_formal5080,HM12,local,6,ok,False,,10637.005824,0.019061565399169922,435.633180141449,435.65224170684814,0.4,-208817700.42342815,0.6796590879772234,61,178723926,178723926,5957464.2,30,195.0,85.5,9.0,3.0,18.0,3.0,81.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderlocal_seed7_formal5080,HM12,local,7,ok,False,,8189.470208,0.018404006958007812,432.32890462875366,432.34730863571167,0.37,-200587911.84698248,0.7259555976324441,61,181242030,181242030,6041401.0,30,186.5,85.5,12.0,3.0,17.0,3.0,71.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderlocal_seed8_formal5080,HM12,local,8,ok,False,,10637.225472,0.019460439682006836,445.99773502349854,446.01719546318054,0.68,-212543644.05316138,0.7578917728171806,61,186110874,186110874,6203695.8,30,209.5,85.5,20.0,3.0,21.0,3.0,81.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderlocal_seed9_formal5080,HM12,local,9,oom,True,OutOfMemoryError,10638.90176,0.019004106521606445,406.78915572166443,406.80815982818604,,,,57,186314866,186314866,6900550.592592592,27,160.0,76.5,15.0,3.0,15.0,3.0,71.0,872.0,62.0,90.72250559725987
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed0_formal5080,HM12,rankaware_proxy_pam,0,oom,True,OutOfMemoryError,10636.973568,0.019765377044677734,204.96426796913147,204.98403334617615,,,,37,73910002,73910002,4347647.176470588,17,71.5,46.5,14.0,3.0,14.0,3.0,61.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed1_formal5080,HM12,rankaware_proxy_pam,1,oom,True,OutOfMemoryError,10636.199936,0.019481658935546875,200.46128821372986,200.4807698726654,,,,35,77464928,77464928,4841558.0,16,63.0,43.5,9.0,3.0,9.0,3.0,61.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,HM12,rankaware_proxy_pam,2,oom,True,OutOfMemoryError,10638.500352,0.01911306381225586,228.76918721199036,228.7883002758026,,,,37,100802606,100802606,5929565.05882353,17,86.5,46.5,20.0,3.0,20.0,3.0,81.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed3_formal5080,HM12,rankaware_proxy_pam,3,oom,True,OutOfMemoryError,10636.955648,0.018936634063720703,181.85155653953552,181.87049317359924,,,,35,59980040,59980040,3748752.5,16,60.0,43.5,9.0,3.0,9.0,3.0,41.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed4_formal5080,HM12,rankaware_proxy_pam,4,oom,True,OutOfMemoryError,10637.771776,0.020333051681518555,184.2641954421997,184.28452849388123,,,,33,66485822,66485822,4432388.133333334,15,67.5,40.5,12.0,3.0,12.0,3.0,51.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed5_formal5080,HM12,rankaware_proxy_pam,5,oom,True,OutOfMemoryError,10636.93312,0.01937246322631836,192.07477378845215,192.09414625167847,,,,35,69451284,69451284,4340705.25,16,65.5,43.5,10.0,3.0,10.0,3.0,51.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,HM12,rankaware_proxy_pam,6,oom,True,OutOfMemoryError,10636.110848,0.019101381301879883,205.74596047401428,205.76506185531616,,,,39,68006608,68006608,3778144.888888889,18,75.5,49.5,8.0,3.0,9.0,3.0,41.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed7_formal5080,HM12,rankaware_proxy_pam,7,oom,True,OutOfMemoryError,13408.214528,0.01920318603515625,238.7899329662323,238.80913615226746,,,,37,105092170,105092170,6181892.352941177,17,88.5,46.5,24.0,3.0,24.0,3.0,91.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed8_formal5080,HM12,rankaware_proxy_pam,8,oom,True,OutOfMemoryError,10636.47744,0.020421504974365234,211.8743441104889,211.89476561546326,,,,37,81531338,81531338,4795961.05882353,17,72.5,46.5,10.0,3.0,10.0,3.0,61.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,HM12,rankaware_proxy_pam,9,oom,True,OutOfMemoryError,10636.8384,0.01872706413269043,209.18861508369446,209.20734214782715,,,,39,72964368,72964368,4053576.0,18,83.0,49.5,15.0,3.0,15.0,3.0,61.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,HM12,sensitivity_pam,0,ok,False,,8188.98944,0.018800020217895508,405.5286693572998,405.5474693775177,0.34,-220686726.89990646,0.8301307643775793,61,145928410,145928410,4864280.333333333,30,195.0,85.5,15.0,3.0,15.0,3.0,71.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed1_formal5080,HM12,sensitivity_pam,1,ok,False,,10637.5552,0.01910257339477539,389.3429207801819,389.36202335357666,0.72,-209959953.60413116,0.6821527832776088,61,130481418,130481418,4349380.6,30,184.5,85.5,12.0,3.0,15.0,3.0,81.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed2_formal5080,HM12,sensitivity_pam,2,ok,False,,6058.859008,0.018915414810180664,375.87020349502563,375.8891189098358,0.39,-225089821.70579836,0.6828234948783092,61,112718494,112718494,3757283.1333333333,30,175.0,85.5,7.0,3.0,13.0,3.0,61.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed3_formal5080,HM12,sensitivity_pam,3,oom,True,OutOfMemoryError,10637.200384,0.018345117568969727,403.56053709983826,403.5788822174072,,,,61,163927826,163927826,5652683.655172414,29,173.0,82.5,13.0,3.0,13.0,3.0,71.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed4_formal5080,HM12,sensitivity_pam,4,ok,False,,8188.580352,0.019452810287475586,397.94940972328186,397.96886253356934,0.56,-238305281.2776756,0.6074109202863647,61,140865622,140865622,4695520.733333333,30,174.0,85.5,13.0,3.0,13.0,3.0,71.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed5_formal5080,HM12,sensitivity_pam,5,ok,False,,10635.611136,0.02110576629638672,411.88843059539795,411.90953636169434,0.61,-246650694.84542093,0.6666991793920378,61,162688410,162688410,5422947.0,30,178.0,85.5,9.0,3.0,12.0,3.0,81.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed6_formal5080,HM12,sensitivity_pam,6,ok,False,,8188.586496,0.019765377044677734,409.369562625885,409.3893280029297,0.45,-226927704.77744743,0.8774042560731484,61,151096226,151096226,5036540.866666666,30,187.0,85.5,11.0,3.0,16.0,3.0,71.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed7_formal5080,HM12,sensitivity_pam,7,ok,False,,13404.85632,0.018961668014526367,429.53027510643005,429.5492367744446,0.52,-212360220.02124283,0.7616129828168707,61,179712774,179712774,5990425.8,30,185.0,85.5,19.0,3.0,19.0,3.0,91.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed8_formal5080,HM12,sensitivity_pam,8,ok,False,,10636.834304,0.019925594329833984,409.41696667671204,409.43689227104187,0.34,-225776636.68740594,0.6014461903605735,61,148682982,148682982,4956099.4,30,195.0,85.5,15.0,3.0,15.0,3.0,81.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_ordersensitivity_pam_seed9_formal5080,HM12,sensitivity_pam,9,ok,False,,8188.604416,0.019808053970336914,406.15032720565796,406.1701352596283,0.4,-220978739.5539244,0.8105311408704658,61,151936374,151936374,5064545.8,30,184.0,85.5,9.0,3.0,15.0,3.0,71.0,536.0,30.0,79.52842044305933
HM8_state40_action50_iter30_orderblock_pam_seed0_formal5080,HM8,block_pam,0,ok,False,,2425.35936,0.0063817501068115234,164.46805834770203,164.47444009780884,0.6,-253803987.69345254,0.8915235708763183,61,27164078,27164078,905469.2666666667,30,137.0,85.5,7.0,3.0,8.0,3.0,31.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed1_formal5080,HM8,block_pam,1,ok,False,,2756.16,0.0063631534576416016,159.09153699874878,159.09790015220642,0.8,-253290245.3418692,0.6894974923070688,61,26056002,26056002,868533.4,30,137.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed2_formal5080,HM8,block_pam,2,ok,False,,2756.063744,0.006097078323364258,162.73082447052002,162.73692154884338,0.4,-265249081.14991882,0.6591083211495429,61,26415386,26415386,880512.8666666667,30,133.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
