env,ordering,state_index,state_type,cut,exact_unfolding,matrix_rows,matrix_cols,top_singular_value,effective_rank_relerr_0.1,effective_rank_relerr_0.05,effective_rank_relerr_0.01
HM8,block_pam,1,boundary,13,False,2293235712,48,98809937.93199244,2,2,2
HM8,block_pam,1,boundary,14,False,4586471424,24,69914039.10220194,2,2,2
HM8,block_pam,1,boundary,15,False,55037657088,2,20184457.888029452,2,2,2
HM8,block_pam,2,hard,1,False,12,9172942848,441339738.99250096,2,2,2
HM8,block_pam,2,hard,2,False,24,4586471424,624160902.0213481,2,2,2
HM8,block_pam,2,hard,3,False,288,382205952,2162111263.3009214,2,2,2
HM8,block_pam,2,hard,4,False,576,191102976,2882779863.2272778,2,2,2
HM8,block_pam,2,hard,5,False,6912,15925248,2882859888.964495,2,2,2
HM8,block_pam,2,hard,6,False,13824,7962624,2882781437.3711734,2,2,2
HM8,block_pam,2,hard,7,False,165888,663552,2882845121.099888,2,2,2
HM8,block_pam,2,hard,8,False,331776,331776,2882821318.4995914,2,2,2
HM8,block_pam,2,hard,9,False,3981312,27648,2882818737.401598,2,2,2
HM8,block_pam,2,hard,10,False,7962624,13824,2882807524.3286486,2,2,2
HM8,block_pam,2,hard,11,False,95551488,1152,2882821112.022848,2,2,2
HM8,block_pam,2,hard,12,False,191102976,576,2882767771.2927713,2,2,2
HM8,block_pam,2,hard,13,False,2293235712,48,882681947.5677246,2,2,2
HM8,block_pam,2,hard,14,False,4586471424,24,624141434.7314013,2,2,2
HM8,block_pam,2,hard,15,False,55037657088,2,180196841.73128343,2,2,2
HM8,rankaware_proxy_pam,0,easy,1,False,2,55037657088,2225789.4073893717,2,2,2
HM8,rankaware_proxy_pam,0,easy,2,False,24,4586471424,7732873.6096323775,2,2,2
HM8,rankaware_proxy_pam,0,easy,3,False,48,2293235712,10942122.789110068,2,2,2
HM8,rankaware_proxy_pam,0,easy,4,False,576,191102976,35579580.58702555,2,2,2
HM8,rankaware_proxy_pam,0,easy,5,False,1152,95551488,35589029.07318165,2,2,2
HM8,rankaware_proxy_pam,0,easy,6,False,13824,7962624,35520509.24253629,2,2,2
HM8,rankaware_proxy_pam,0,easy,7,False,27648,3981312,35612440.39105788,2,2,2
HM8,rankaware_proxy_pam,0,easy,8,False,331776,331776,35510615.044414334,2,2,2
HM8,rankaware_proxy_pam,0,easy,9,False,663552,165888,35664581.1438342,2,2,2
HM8,rankaware_proxy_pam,0,easy,10,False,7962624,13824,35596419.46278115,2,2,2
HM8,rankaware_proxy_pam,0,easy,11,False,95551488,1152,35619679.107996,2,2,2
HM8,rankaware_proxy_pam,0,easy,12,False,191102976,576,35574249.86333826,2,2,2
HM8,rankaware_proxy_pam,0,easy,13,False,2293235712,48,10897204.391889978,2,2,2
HM8,rankaware_proxy_pam,0,easy,14,False,4586471424,24,7737137.744222816,2,2,2
HM8,rankaware_proxy_pam,0,easy,15,False,55037657088,2,2203413.9693117742,2,2,2
HM8,rankaware_proxy_pam,1,boundary,1,False,2,55037657088,20172327.688631453,2,2,2
HM8,rankaware_proxy_pam,1,boundary,2,False,24,4586471424,69879248.37279007,2,2,2
HM8,rankaware_proxy_pam,1,boundary,3,False,48,2293235712,98857273.29214641,2,2,2
HM8,rankaware_proxy_pam,1,boundary,4,False,576,191102976,322774408.88885444,2,2,2
HM8,rankaware_proxy_pam,1,boundary,5,False,1152,95551488,322940097.25776744,2,2,2
HM8,rankaware_proxy_pam,1,boundary,6,False,13824,7962624,322722708.4400341,2,2,2
HM8,rankaware_proxy_pam,1,boundary,7,False,27648,3981312,322879879.4260537,2,2,2
HM8,rankaware_proxy_pam,1,boundary,8,False,331776,331776,322852274.13283443,2,2,2
HM8,rankaware_proxy_pam,1,boundary,9,False,663552,165888,322754994.2588258,2,2,2
HM8,rankaware_proxy_pam,1,boundary,10,False,7962624,13824,322768707.6531757,2,2,2
HM8,rankaware_proxy_pam,1,boundary,11,False,95551488,1152,322830995.89122933,2,2,2
HM8,rankaware_proxy_pam,1,boundary,12,False,191102976,576,322851410.9128349,2,2,2
HM8,rankaware_proxy_pam,1,boundary,13,False,2293235712,48,98828379.5917391,2,2,2
HM8,rankaware_proxy_pam,1,boundary,14,False,4586471424,24,69911712.225617,2,2,2
HM8,rankaware_proxy_pam,1,boundary,15,False,55037657088,2,20153347.10169234,2,2,2
HM8,rankaware_proxy_pam,2,hard,1,False,2,55037657088,180204101.21554717,2,2,2
HM8,rankaware_proxy_pam,2,hard,2,False,24,4586471424,624153394.8599082,2,2,2
HM8,rankaware_proxy_pam,2,hard,3,False,48,2293235712,882660177.852355,2,2,2
HM8,rankaware_proxy_pam,2,hard,4,False,576,191102976,2882844041.996007,2,2,2
HM8,rankaware_proxy_pam,2,hard,5,False,1152,95551488,2882693843.041365,2,2,2
HM8,rankaware_proxy_pam,2,hard,6,False,13824,7962624,2882910249.215696,2,2,2
HM8,rankaware_proxy_pam,2,hard,7,False,27648,3981312,2882827996.619552,2,2,2
HM8,rankaware_proxy_pam,2,hard,8,False,331776,331776,2882841926.391755,2,2,2
